INFO 2024-05-16 20:47:14,361 autoreload Watching for file changes with StatReloader
DEBUG 2024-05-16 20:47:14,362 autoreload Waiting for apps ready_event.
DEBUG 2024-05-16 20:47:14,440 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-05-16 20:47:14,461 autoreload Watching dir C:\Users\ASUS\Desktop\shi\FitChamp\templates with glob **/*.
DEBUG 2024-05-16 20:47:14,462 autoreload Watching dir c:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-05-16 20:47:14,463 autoreload Watching dir C:\Users\ASUS\Desktop\shi\FitChamp\locale with glob **/*.mo.
DEBUG 2024-05-16 20:47:14,464 autoreload Watching dir C:\Users\ASUS\Desktop\shi\FitChamp\myapp\locale with glob **/*.mo.
DEBUG 2024-05-16 20:47:14,464 autoreload Watching dir c:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-05-16 20:47:14,469 autoreload Watching dir c:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2024-05-16 20:47:14,470 autoreload Watching dir c:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-05-16 20:47:14,547 utils (0.000) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2024-05-16 20:47:14,551 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-05-16 20:47:14,706 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\core\checks\files.py first seen with mtime 1715804227.73133
DEBUG 2024-05-16 20:47:14,706 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1715804227.9393084
